TIPO,CODIGO,ITEM,DESCRIPCION,UNIDAD,SIMBOLO,CANTIDAD,PREC_UNITARIO,TOTAL
G,1,1, MOVIMIENTO DE TIERRAS,,,,,
I,1.1,1,DESBROCE DESTRONQUE Y LIMPIEZA,,HAS,10,9327.24,93272.4
I,1.2,2,EXCAVACIÓN NO CLASIFICADA D<=300 M ,,M3,82752.65149,20.18,1669948.51
I,1.3,3,EXCAVACION EN FANGO D=<300 M      ,,M3,300,35.43,10629
I,1.4,4,TERRAPLEN CON MATERIAL DE PRESTAMO  ,,M3,169310,31.53,5338344.3
I,1.5,5,TERRAPLEN CON MATERIAL DE CORTE,,M3,53.5,26.66,1426.31
I,1.6,6,RELLENO EN AREAS DE DEPOSITO      ,,M3,500,11.14,"5,570"
I,1.7,7,SOBREACARREO PARA D>300 M      ,,M3K,"368,038",2.72,"1,001,064"
I,1.8,8,TRANSPORTE DE MATERIAL DE ACOPIOS     ,,M3K,"3,908,171",2.78,"10,864,716"
I,1.9,1.1,ITEMS NUEVOS - MOVIMIENTO DE TIERRAS,,,,,
I,1.9.1,138,PEDRAPLÉN PARA ESTABILIZACIÓN DE PLATAFORMA,,M3,23130.17,30.35,702000.66
G,2,2,PAVIMENTACION,,,,,
I,2.1,9,SUB-BASE DE MATERIAL GRANULAR   ,,M3,16469,99.18,1633395.42
I,2.2,10,BASE DE MATERIAL GRANULAR    ,,M3,12475,150.55,1878111.25
I,2.3,11,IMPRIMACION - EJECUCION - PAVIMENTO NUJEVO/EXISTENTE  ,,M2,60978,1.46,89027.88
I,2.4,12,RIEGO DE LIGA - EJECUCION - PAVIMENTO NUEVO/EXISTENTE,,M2,14735,1.46,21513.1
I,2.5,13,CARPETA ASFALTICA ASFALTO MODIFICADO C/POLIMEROS,,M3,6394,667.53,4268186.82
I,2.6,14,SUMINISTRO DE ASF. DILUIDO/EMULSION P/IMPRIMACION,,L,69980,12.32,862153.6
I,2.7,15,SUMINISTRO DE ASF. DILUIDO/EMULSION P/RIEGO DE LIGA  ,,L,8750,12.81,112087.5
I,2.8,16,SUMINISTRO DE CEMENTO ASFALTICO MOD. CON POLIMEROS,,TON,904,9485.02,8574458.08
I,2.9,17,TRANSPORTE DE MATERIAL GRANULAR,,M3K,1009110,3.82,3854800.2
I,2.1,18,TRANSPORTE DE CONCRETO ASFALTICO  ,,M3K,40330,3.9,157287
I,2.11,19,CAMBIO DE MATERIAL,,M3,1090,21.58,23522.2
I,2.12,20,PAVIMENTO RIGIDO,,M3,100,2502.68,250268
I,2.13,21,TRATAMIENTO SUPERFICIAL DOBLE TSD C/MATERIAL BITUMINOSO (BERMAS),,M2,31112,9.33,290274.96
I,2.14,22,SUMINISTRO DE ASF. DILUIDO P/TRAT. SUPEERFICIAL,,L,31112,13.65,424678.8
I,2.15,23,SOBRE CARPETA ASFALTICA ASFALTO MODIFICADO C/POLIMEROS,,M3,629,667.53,419876.37
I,2.16,24,BACHEO PROFUNDO (INCLUIYE CAPA GRANULAR),,M2,407,438.55,178489.85
I,2.17,25,REFUERZO CON GEOMALLA PAVIMENTO NUEOV/EXISTENTE,,M2,3810,25.2,96012
G,3,3,OBRA DE DRENAJE,,,,,
G,3.1,3.1,DEMOLICION Y RETIRO DE OBRAS EXISTENTES,,,,,
I,3.1.1,26,DEMOLICION DE CABEZALES,,M3,100,168.78,16878
G,3.2,3.2,DRENAJE TRANSVERSAL,,,,,
I,3.2.1,27,EXCAVACION NO CLASIF. PARA OBRAS DE DRENAJE MENOR  ,,M3,950,35.43,33658.5
I,3.2.2,28,RELLENO PARA CIMENTACIONES DE OBRAS DE DRENAJE MENOR    ,,M3,400,74.12,29648
I,3.2.3,29,RELLENO FLUIDO PARA OBRAS DE DRENAJE MENOR,,M3,300,274.03,82209
I,3.2.4,30,ALCANTARILLA SIMPLE DE TUBO DE HORMIGON ARMADO  D=1.00 M    ,,ML,50,2295.41,114770.5
I,3.2.5,31,ALCANTARILLA SIMPLE DE TUBO DE HORMIGON ARMADO  D=1.50 M      ,,ML,12,2499.2,29990.4
I,3.2.6,32,GAVIONES TIPO COLCHON E=0.23 M         ,,M3,600,963.06,577836
I,3.2.7,33,GAVION TIPO CAJON,,M3,600,778.41,467046
I,3.2.8,34,"HORMIGON SIMPLE TIPO ""A"" PARA OBRAS DE DRENAJE MENOR ",,M3,550,2160.59,1188324.5
I,3.2.9,35,"HORMIGON SIMPLE TIPO ""E"" PARA OBRAS DE DRENAJE MENOR ",,M3,50,1425.13,71256.5
I,3.2.10,36,ARMADURA DE REFUERZO PARA OBRAS DE DRENAJE MENOR ,,KG,60850,17.61,1071568.5
I,3.2.11,37,CAJON INTERMEDIO DE EMPALME ALCANTARILLA (HORMIGON ARMADO),,ML,50,3542.43,177121.5
I,3.2.12,38,RELLENO PARA ZANJAS PARA OBRAS DE DRENAJE MENOR  ,,M3,100,104.4,10440
I,3.2.13,39,RECONFORMACION DE CANALES (ENCAUCES),,M3,1200,39.67,47604
G,3.3,3.3,DRENAJE LONGITUDINAL,,,,,
I,3.3.1,40,CUNETA EN CORTE  INC. EXCAVACIÓN Y REVESTIMIENTO TIPO 2,,ML,400,435.56,174224
I,3.3.2,41,CUNETA EN CORTE  INC. EXCAVACIÓN Y REVESTIMIENTO TIPO 3,,ML,550,493.12,271216
I,3.3.3,42,CUNETA EN CORTE  INC. EXCAVACIÓN Y REVESTIMIENTO TIPO 4,,ML,1475.269959,471.33,695338.99
I,3.3.4,43,BORDILLO DE RETENCIÓN DE TERRAPLÉN (Hº TIPO B),,ML,850,128.62,109327
I,3.3.5,44,BAJANTE BORDILLO TIPO RÁPIDA,,ML,100,313.27,31327
G,3.4,3.2,DRENAJE TRANSVERSAL,,,,,
I,3.4.1,45,DRENAJE PASATUBOS,,ML,1000,2267.71,2267710
G,3.5,3.4,DRENAJE URBANO,,,,,
I,3.5.1,46,EXCAVACIÓN CLASIF PARA OBRAS DE ARTE MENOR,,M3,3450,35.43,122233.5
I,3.5.2,47,RELLENO PARA CIMENTACIONES PARA OBRAS DE DRENAJE MENOR,,M3,2750,74.13,203857.5
I,3.5.3,48,RELLENO FLUIDO PARA OBRAS DE DRENAJE MENOR,,M3,1300,259.75,337675
I,3.5.4,49,SUMIDERO DE CALZADA,,PZA,50,694.75,34737.5
I,3.5.5,50,ALCANTARILLA SIMPLE DE TUBO DE HORMIGON ARMADO  D=1.00 M      ,,ML,500,2295.41,1147705
I,3.5.6,51,CANAL TRAPECIAL BASE 0.60 M. PENDIENTE 2:1,,ML,450,352.8,158760
I,3.5.7,52,CAMARA DE INSPECCION 2X1.8,,PZA,50,4280.89,214044.5
G,4,4,VIADUCTOS,,,,,
G,4.1,4.1,INFRAESTRUCTURA,,,,,
I,4.1.1,53,DEMOLICION Y REMOCION DE OBRAS DE ARTE MAYOR,,M3,770,217.99,167852.3
I,4.1.2,54,EXCAVACIOBN NO CLASIF. PARA ESTRUCTURAS SIJN AGOTAMIENTO,,M3,1260,35.43,44641.8
I,4.1.3,55,EXCAVACION NO CLASIF. PARA ESTRUC. CON AGOTAMIENTO,,M3,110,209.91,23090.1
I,4.1.4,56,"HORMIGON SIMPLE TIPO ""A"" FC 28 MPA",,M3,1490,2260.12,3367578.8
I,4.1.5,57,"HORMIGON TIPO ""E""FC 11 MPA",,M3,10,1425.13,14251.3
I,4.1.6,58,ACERO ESTRUCTURAL FY 420 MPA,,KG,134740,17.61,2372771.4
I,4.1.7,59,NEOPRENO COMPUESTO,,DM3,240,421.29,101109.6
I,4.1.8,60,NEOPRENO SIMPLE,,DM3,90,236.78,21310.2
I,4.1.9,61,RELLENO SELECCIONADO PARA ESTRUCTURAS,,M3,1600,176.02,281632
I,4.1.10,62,PILOTES IN SITO DE HºAº DN=1.20 M,,ML,1480,7363.19,10897521.2
G,4.2,4.2,SUPERESTRUCTURA,,,,,
I,4.2.1,63,"HORMIGON CLASE  ""A"" FC 28 MPA",,M3,1150,2260.12,2599138
I,4.2.2,64,ACERO ESTRUCTURAL FY 420 MPA,,KG,111620,17.61,1965628.2
I,4.2.3,65,VIGA POSTENSADA TIPO ; L=30.60M,,PZA,40,145207.39,5808295.6
I,4.2.4,66,"DRENAJE TUBOS PVC  D=4""    ",,ML,70,133.84,9368.8
I,4.2.5,67,BARANDADO      ,,ML,270,1331.17,359415.9
I,4.2.6,68, JUNTA DE DILATACION,,ML,280,1033.28,289318.4
I,4.2.7,69,LANZAMIENTO PARA VIGA DE 30 M POR TRAMO,,TRM,6,236951.95,1421711.7
I,4.2.8,70,VIGA POSTENSADA TIPO ; L=20.60M,,PZA,24,100136.93,2403286.32
I,4.2.9,71,LANZAMIENTO PARA VIGA DE 20 M POR TRAMO,,TRM,4,159120.08,636480.32
G,4.3,4.3,ACCESOS,,,,,
I,4.3.1,72,EXCAVACION COMUN ,,M3,4940,35.43,175024.2
I,4.3.2,73,HORMIGON TIPO A FC=21 MPA,,M3,1940,1813.64,3518461.6
I,4.3.3,74,ACERO ESTRUCTURAL FY 420 MPA,,KG,171080,17.61,3012718.8
